epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.417,2.24074,3.34504,2.60853,0.00286,0.85714,0.06034,0.02105,2.11573,4.36202,3.25508,8e-05,8e-05,8e-05
2,229.116,1.93092,3.00275,2.2308,0.00333,1,0.53594,0.17992,1.6618,3.90157,2.4536,0.000176436,0.000176436,0.000176436
3,292.485,1.6183,2.76474,1.97357,0.00333,1,0.57524,0.19916,1.4656,3.49007,2.09197,0.000268912,0.000268912,0.000268912
4,354.28,1.4945,2.40346,1.78312,0.00333,1,0.422,0.16519,1.71357,3.67877,2.49131,0.000357428,0.000357428,0.000357428
5,418.315,1.3845,2.27865,1.69263,0.00333,1,0.39168,0.13518,1.6467,3.66258,2.3173,0.000441984,0.000441984,0.000441984
6,476.39,1.44543,1.97429,1.65085,0.00333,1,0.49762,0.22379,1.36899,3.45869,2.10144,0.00052258,0.00052258,0.00052258
7,516.233,1.22882,1.77392,1.53962,0.00828,1,0.46913,0.24206,1.66956,3.51717,2.30064,0.000599216,0.000599216,0.000599216
8,555.439,1.28501,1.599,1.5548,0.76668,0.23811,0.43482,0.2255,1.66506,3.48859,2.23913,0.000671892,0.000671892,0.000671892
9,594.505,1.31108,1.78177,1.5962,0.97388,0.78571,0.92598,0.34426,1.65602,2.78946,2.85887,0.000740608,0.000740608,0.000740608
10,634.846,1.25943,1.68515,1.58368,0.58179,0.71429,0.69019,0.26449,1.81079,3.14402,3.1113,0.000805364,0.000805364,0.000805364
11,675.614,1.27685,1.6078,1.62637,0.37231,0.64286,0.48332,0.16309,1.92757,3.54092,3.41926,0.00086616,0.00086616,0.00086616
12,716.052,1.3252,1.67169,1.63142,0.44076,0.57143,0.4174,0.11762,2.16389,3.74976,3.53545,0.000922996,0.000922996,0.000922996
13,758.832,1.26531,1.53734,1.55067,0.44046,0.42857,0.50624,0.11385,2.28643,3.30986,3.74669,0.000975872,0.000975872,0.000975872
14,799.072,1.31655,1.53757,1.53891,0.52114,0.57143,0.60282,0.2501,1.84921,3.0443,2.7036,0.00102479,0.00102479,0.00102479
15,839.355,1.26651,1.50209,1.52288,0.65331,0.85714,0.77332,0.25426,2.04,2.7595,3.02053,0.00106974,0.00106974,0.00106974
16,879.926,1.22746,1.37868,1.50858,0.58429,0.64286,0.63496,0.24681,2.16341,2.99679,3.20701,0.00111074,0.00111074,0.00111074
17,923.646,1.1953,1.35725,1.51744,0.56344,0.57143,0.66843,0.25327,1.9376,2.90447,2.79825,0.00114778,0.00114778,0.00114778
18,967.001,1.17012,1.33749,1.45351,0.71579,0.57143,0.6625,0.29356,1.99883,2.89783,3.03662,0.00118085,0.00118085,0.00118085
19,1008.37,1.30812,1.43209,1.54834,0.71163,0.70565,0.74415,0.24784,2.16216,2.83034,3.53111,0.00120997,0.00120997,0.00120997
20,1051.76,1.24739,1.32139,1.53494,0.56568,0.57143,0.60055,0.28921,2.10194,2.52819,3.69873,0.00123512,0.00123512,0.00123512
21,1094.65,1.23883,1.21821,1.48841,0.86113,1,0.9775,0.40351,1.77524,2.06992,3.13517,0.001208,0.001208,0.001208
22,1138.51,1.21382,1.30936,1.51457,0.85979,0.87699,0.9183,0.40999,1.834,2.07952,3.02634,0.0011684,0.0011684,0.0011684
23,1182.62,1.30897,1.32769,1.58089,0.86004,0.64286,0.80968,0.37655,1.7643,2.34951,2.6553,0.0011288,0.0011288,0.0011288
24,1226.34,1.12074,1.23718,1.42887,1,0.56138,0.77322,0.35386,1.92831,2.42357,2.94248,0.0010892,0.0010892,0.0010892
25,1272.38,1.21153,1.21821,1.53062,0.88357,0.71429,0.77677,0.39649,1.66738,2.28747,2.5539,0.0010496,0.0010496,0.0010496
26,1326.53,1.06631,1.10826,1.36058,0.70705,0.69078,0.68537,0.3698,1.63927,2.277,2.26906,0.00101,0.00101,0.00101
27,1372.73,1.18985,1.01766,1.41094,0.82571,0.71429,0.71898,0.37439,1.69525,2.24387,2.33433,0.0009704,0.0009704,0.0009704
28,1419.52,1.18665,1.09504,1.47256,1,0.85005,0.96467,0.5589,1.43365,1.55181,2.22313,0.0009308,0.0009308,0.0009308
29,1454.83,1.1186,1.07787,1.3946,0.99123,0.85714,0.97765,0.62921,1.32185,1.57291,2.02688,0.0008912,0.0008912,0.0008912
30,1489.08,1.11306,1.01063,1.38893,0.99154,0.85714,0.96011,0.57813,1.42938,1.78658,2.17361,0.0008516,0.0008516,0.0008516
31,1522.96,1.07794,1.03975,1.38541,0.98682,0.85714,0.97011,0.56524,1.50775,1.67866,2.24324,0.000812,0.000812,0.000812
